127.0.0.1, 2018-01-03 12:54:10, GET, /, HTTP/1.1, 303, 0.003955
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.393123
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000582
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000544
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000683
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000658
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000938
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001858
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001258
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001120
127.0.0.1, 2018-01-03 12:54:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000333
127.0.0.1, 2018-01-03 12:57:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.032515
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/default/index, HTTP/1.1, 200, 0.012606
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000388
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000474
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000511
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000359
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001472
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.002560
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001899
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001011
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002213
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000972
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000949
127.0.0.1, 2018-01-03 12:58:22, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000666
127.0.0.1, 2018-01-03 12:58:43, GET, /examples/default/index, HTTP/1.1, 200, 0.007569
127.0.0.1, 2018-01-03 12:58:52, GET, /examples/default/examples, HTTP/1.1, 200, 0.074145
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.003260
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.002039
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.007354
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001236
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.001571
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.002162
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.002755
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/favicon.ico, HTTP/1.1, 304, 0.003553
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.005804
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.002738
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.002306
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.004339
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.001309
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/default/index, HTTP/1.1, 200, 0.035462
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000486
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000323
127.0.0.1, 2018-01-03 13:29:52, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000317
